Maker,Maker_Group,Month,Registerations,State 
AVON CYCLES LTD,YC,APR,1,Bihar
AVON CYCLES LTD,YC,MAY,4,Bihar
AVON CYCLES LTD,YC,JUN,2,Bihar
AVON CYCLES LTD,YC,JUL,3,Bihar
AVON CYCLES LTD,YC,AUG,3,Bihar
AVON CYCLES LTD,YC,SEP,0,Bihar
AVON CYCLES LTD,YC,OCT,0,Bihar
AVON CYCLES LTD,YC,NOV,1,Bihar
AVON CYCLES LTD,YC,DEC,1,Bihar
B24 ROKET EV,Others,JAN,17,Bihar
B24 ROKET EV,Others,FEB,12,Bihar
B24 ROKET EV,Others,MAR,21,Bihar
B24 ROKET EV,Others,APR,13,Bihar
B24 ROKET EV,Others,MAY,11,Bihar
B24 ROKET EV,Others,JUN,16,Bihar
B24 ROKET EV,Others,JUL,16,Bihar
B24 ROKET EV,Others,AUG,19,Bihar
B24 ROKET EV,Others,SEP,10,Bihar
B24 ROKET EV,Others,OCT,26,Bihar
B24 ROKET EV,Others,NOV,20,Bihar
B24 ROKET EV,Others,DEC,15,Bihar
BABA E-VEHICLES,Others,JAN,0,Bihar
BABA E-VEHICLES,Others,FEB,0,Bihar
BABA E-VEHICLES,Others,MAR,0,Bihar
BABA E-VEHICLES,Others,APR,0,Bihar
BABA E-VEHICLES,Others,MAY,0,Bihar
BABA E-VEHICLES,Others,JUN,0,Bihar
